CONCEDENTE|BENEFICIADO|CONVENIO|DESCRICAO_CONVENIO|CONVENIO_ORIGEM|BANCO|AGENCIA|CONTA|DATA_INICIO|DATA_TERMINO|VALOR|DATA_TRANSACAO|TIPO_CONVENIO|DATA_CELEBRACAO|EMPENHO_REF|VALOR_PARTIDA|VALOR_CONTRAPARTIDA|DESCRICAO_CONCEDENTE|DESCRICAO_BENEFICIADO|ANO|TIPO_BENEFICIADO
520030|08873961000112|001007|PROMOCAO DA REALIZACAO DE TORNEIOS LEITEIROS DO SERTAO ALAGOANO, PARCERIA DA SEAGRI X SINDILEITE-SINDICATO RURAL DA BACIA LEITEIRA DE ALAGOAS. R$ 8.100,00ESTADO, R$ 900,00 SINDILEITE.|PROC.ADM.1400/|104|27359|11001|2008/09/01|2008/12/31|9000|2008/11/27|4|2008/10/03|DESPESA|9000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|SINDILEITE-SIND RURAL DA BACIA LEIT. DE AL|2008|PJ
530031|03318115000117|001983|O CONVENIO TEM POR OBJETO A EXECUCAO DAS OBRAS E SERVICOS DE DRENAGEM, CONTENCAO E RECOMPOSICAO DA ENCOSTA NA GROTA BOM JESUS/ MACEIO -AL CONTRATO 56/2008CPL/AL COM A EMPRESA AMORIM BARRETO ENG. LTDA|56/2008|104|27359|0600006654|2008/12/12|2009/05/12|2040000|2008/12/29|2|2008/12/11|DESPESA|2040000|0|SECRETARIA DE ESTADO DA INFRA-ESTRUTURA|AMORIM BARRETO  ENGENHARIA LTDA|2008|PJ
330010|06110604000177|001921|CAPACITACAO DE LIDERES E DIRIGENTES COMUNITARIOS COMO OUVIDORES COMUNITARIOS.CONV. FIRMADO ENTRE OUVIDORIA GERAL DO ESTADO COM A FEDERACAO DAS ASSOCIACOESDE MORADORES E ENTIDADES COMUNIT.DE ALAGOAS-FA|120402201/2007|104|00558|0000169570|2008/08/07|2009/08/07|57600|2008/08/20|1|2008/08/07|DESPESA|57600|0|SECRETARIA DE ESTADO DA ARTICULACAO SOCIAL|FEDERACAO DAS ASSOC DE MOR E ENT COMUN. DE AL|2008|PJ
510514|15091678115|001001|APL - GERACAO DE TECNOLOGIAS PARA INCREMENTO DA EFICIENCIA PRODUTIVA DA MANDIOCA NO AGRESTE ALAGOANO.|PROC N. 200412|001|30570|0000159980|2008/08/19|2008/12/26|15000|2008/08/21|4|2007/12/27|DESPESA|15000|0|FUN DE AMPARO A PESQUISA DO EST DE ALAGOAS|ANTONIO DIAS SANTIAGO|2008|PJ
510021|07127369000109|001848|O OBJETO DO CONVENIO E FOMENTAR AS ARTES CENICAS NA CIDADE DE ARAPIRACA/AL,  VISANDO INCENTIVAR A PROFISSIONALIZACAO DA PRODUCAO TEATRAL.A TRANSFERENCIA|001/2008|104|27359|UNICA|2008/03/14|2009/03/13|43200|2008/03/19|1|2008/03/13|DESPESA|43200|0|SECRETARIA DE ESTADO DA CULTURA|ASSOCIACAO DOS ARTISTAS DE MASSARANDUBA|2008|PJ
510526|06018231000109|001979|O CONVENIO TEM POR APOIAR FINACEIRAMENTE A NUTRIR - ASSIACAO DE COMBATE A DESNUTRICAO|002/2008|001|00132|179698|2008/12/18|2009/12/18|120264|2008/12/18|1|2008/12/17|DESPESA|120264|0|FUNDO ESTADUAL DE ASSISTENCIA SOCIAL|NUTRIR - ASSOCIACAO DE COMBATE A DESNUTRICAO|2008|PJ
510557|38027546000109|001985|O CONVENIO TEM POR OBJETO FAZER DOCUMENTARIO SOBRE O MOMENTO HISTORICO DA DITADURA MILITAR.|04/2008|104|27359|UNICA|2008/12/31|2009/12/31|50000|2008/12/31|1|2008/12/22|DESPESA|50000|0|FUNDO DE DESENVOLVIMENTO DE ACOES CULTURAIS|JORGE O.SILVA-COM.CONS.MARKETING-|2008|PJ
510526|00975471000115|001008|APOIAR FINANCEIRAMENTE A PASTORAL DA CRIANCA, VISANDO A PROMOCAO DA EDUCACAO DE FAMILIAS POBRES E A CONSEQUENTE SOBREVIVENCIA E O DESENVOLVIMENTO INTEGRALDA CRIANCA. VALOR TOTAL FINANCIADO PELA UG.|003/2008|104|27359|11001|2008/11/06|2009/11/05|357217|2008/11/28|4|2008/11/05|DESPESA|357217|0|FUNDO ESTADUAL DE ASSISTENCIA SOCIAL|PASTORAL DA CRIANCA|2008|PJ
520028|12517413000127|001980|PROJETO ZONEAMENTO DE PLANO ESTRATEGICO DE DESENVOLVIMENTO DO TURISMO DO ESTADO DE ALAGOAS.|008/2008|104|27359|11001|2008/12/15|2009/10/15|92500|2008/12/18|2|2008/12/15|DESPESA|92500|0|SECRET.DE ESTADO DO DESEN.ECONOMICO E TURISMO|SERVICO DE APO AS MED E PEQ EMP DE AL SEBRAE|2008|PJ
520030|08873961000112|001943|REALIZACAO DA XXXI EXPOSICAO E FEIRA AGROPECUARIA DA BACIA LEITERA DE ALAGOASPERIODO 15/10/08 A 18/10/08 NO PARQUE DE EXP. MAIR AMARAL. MUNIC.BATALHA-AL.CONV. DE DESPESAS SEAGRI X SINDICATO RURAL DA B|PROC.ADM.1400/|104|27359|11001|2008/09/12|2008/10/18|80000|2008/10/13|1|2008/09/12|DESPESA|80000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|SINDILEITE-SIND RURAL DA BACIA LEIT. DE AL|2008|PJ
