descricao;empenhado;liquidado;pago
"17.768.271 KENEDY DE SOUZA OLIVERA - 17768271000194";"770.537,73";"584.447,65";"577.387,32"
"1ª IGREJA BATISTA DE CRUZEIRO DO SUL - 10174597000144";"80.000,00";"80.000,00";"80.000,00"
"1 BIT GESTAO E CONSULTORIA LTDA - 19884430000141";"565,00";"0,00";"0,00"
"23390187 CRISTIANE APARECIDA ALVES - 23390187000182";"528,00";"528,00";"528,00"
"25.229.002 WILLIAN DA SILVA DE SOUZA - 25229002000188";"87.403,00";"73.558,00";"51.988,00"
"29.353.351 GUSTAVO DE HOLANDA SOUZA - 29353351000168";"19.393,60";"0,00";"0,00"
"31.313.294 KARINA FERREIRA DA CRUZ - 31313294000135";"878,80";"878,80";"878,80"
"3D PROJETOS E ASSESSORIA EM INFORMATICA - 07766048000235";"6.173,30";"6.173,30";"6.173,30"
"3F LTDA - 23484444000145";"90.312,00";"88.314,00";"88.314,00"
"3MF COMERCIO E SERVICOS LTDA - 01343456000117";"20.487,50";"20.487,50";"0,00"
"3MP IMOVEIS LTDA - 59402424000125";"65.500,00";"26.200,00";"26.200,00"
"3M REPRESENTAÇÕES COMERCIAIS LTDA - 41263941000103";"25.491,13";"22.627,13";"1.061,00"
"3S SECURITY TECNOLOGIA SEGURANÇA E SERVI - 19140331000155";"28.960,00";"0,00";"0,00"
"43.410.748 LEANDRO CARDOSO DE SOUZA - 43410748000175";"152.650,00";"152.650,00";"152.650,00"
"45.930.627 MARCOS RENAN PIMENTEL GONZAGA - 45930627000180";"50.000,00";"50.000,00";"50.000,00"
"48199956 ARIANE MENDES ROCHA - 48199956000190";"2.200,00";"0,00";"0,00"
"4HEALTH SERVICOS MEDICOS LTDA - 22571753000785";"14.078.255,38";"14.078.252,14";"12.487.401,61"
"51.180.284 ANTONIO FALCAO CAVALCANTE - 51180284000186";"6.000,00";"6.000,00";"6.000,00"
"51.329.770 ELIZETE MARIA MOREIRA - 51329770000113";"1.071,78";"1.071,78";"1.071,78"
"53.652.870 LEONARDO PASSOS GOEBEL - 53652870000101";"30.000,00";"30.000,00";"30.000,00"
"54.092.603 JOSE NECILIO FERREIRA MORAIS - 54092603000190";"39.580,80";"21.050,10";"9.720,00"
"54.363.673 ANTONIA CELSA BARBOSA DA SILV - 54363673000135";"3.003,00";"2.853,00";"2.853,00"
"54.485.820 VANIA PONTES GOMES - 54485820000140";"7.106,40";"0,00";"0,00"
"54.975.336 RAFAEL DE NOBRE NEVES - 54875336000127";"1.561,39";"1.056,90";"1.056,90"
"55191952 MAHATMA SOARES DE MOURA SILVA - 55191952000121";"22.790,00";"22.790,00";"22.790,00"
"55933747 MARCUS DE MIRANDA SILVA - 55933747000194";"1.861,35";"1.861,35";"1.861,35"
"56544605 GLAILSON SOUZA LOURENCO - 56544605000106";"362,04";"362,04";"362,04"
"57.138.776 HELIO MOACIR FACHINI - 57138776000190";"700,00";"350,00";"350,00"
"57.562.366 ELLEONORA YONE NARITA NAGASAVA - 57562366000171";"1.530,00";"0,00";"0,00"
"57.737.227 RENATA JULIANE DA CUNHA - 57737227000131";"4.225,68";"0,00";"0,00"
"58279739 FABIO BRITO RODRIGUES - 58279739000164";"32.615,00";"3.227,90";"3.227,90"
"59.359.963 LUCIANO JOSE TRINDADE - 59359963000129";"20.592,00";"10.296,00";"0,00"
"61.528.070 EDSON MONTEIRO DA ROCHA - 61528070000101";"15.400,00";"0,00";"0,00"
"7LAN COMERCIO E SERVICOS LTDA EPP - 07355957000108";"877.664,85";"263.031,69";"263.031,69"
"7 LIMP COMERCIO, REPRESENTACOES E SERVIC - 29296383000179";"1.362,63";"0,00";"0,00"
"A A CARVALHO - 05393368000180";"451.570,00";"91.300,00";"91.300,00"
"A A C ROCHA ME - 10496033000128";"797.595,41";"679.120,59";"522.275,51"
"A & A EVENTOS LTDA. - 17745645000156";"18.000,00";"18.000,00";"18.000,00"
"A A M CAMELI ME - 07111525000143";"1.579.960,00";"1.566.793,66";"1.566.793,66"
"A A M CAMILI EIRELI - 31836413000134";"61.900,80";"61.900,80";"44.895,36"
"A ANDRADE DE FREITAS - 05126084000128";"1.520,00";"120,00";"120,00"
"A.A. RODRIGUES LTDA - 44474199000165";"62.009,64";"52.449,64";"52.449,64"
"A A SOUZA EIRELI - 33873300000134";"149.340,35";"142.487,64";"142.487,64"
"ABA-COMERCIO E REPRESENTACAO-EIRELI - 09139035000180";"307.168,18";"231.732,43";"231.732,43"
"ABACO TECNOLOGIA DE INFORMACAO LTDA - 37432689000133";"757.074,94";"448.498,42";"448.498,42"
"ABC EMPREENDIMENTOS E LOGISTICA EIRELI - 18260017000143";"224.744,28";"168.558,21";"168.558,21"
"ABC FARMACEUTICO LTDA - 52967925000100";"281.495,00";"268.020,00";"184.620,00"
"ABELARDO LUIZ AMERICO DE SOUZA - 19759428253";"27.733,29";"27.733,29";"27.733,29"
"ABELARDO TOWNES DE CASTRO JUNIOR - 57032173268";"11.968,17";"11.968,17";"11.968,17"
"ABERSON CARVALHO DE SOUZA - 75345129215";"51.048,19";"51.048,19";"51.048,19"
"ABIAS DIAS DE ARAUJO - 65315626253";"8.090,32";"8.090,32";"8.090,32"
"ABIAS SAADY FLORES DE ARAUJO - 04250070220";"480,00";"480,00";"480,00"
"ABIDNEGRO RIBEIRO DA SILVA - SF - 04034484000140";"2.000,00";"2.000,00";"2.000,00"
"ABIGAIL CRISTINA RODRIGUES DE LIMA - 01513602276";"464,52";"464,52";"464,52"
"ABIGAIL DA SILVA FARIAS - 04448742245";"50,00";"50,00";"50,00"
