CONCEDENTE|BENEFICIADO|CONVENIO|DESCRICAO_CONVENIO|CONVENIO_ORIGEM|BANCO|AGENCIA|CONTA|DATA_INICIO|DATA_TERMINO|VALOR|DATA_TRANSACAO|TIPO_CONVENIO|DATA_CELEBRACAO|EMPENHO_REF|VALOR_PARTIDA|VALOR_CONTRAPARTIDA|DESCRICAO_CONCEDENTE|DESCRICAO_BENEFICIADO|ANO|TIPO_BENEFICIADO
410016|12517413000127|002435|APOIO AOS ARTESAOS,MICROS E PEQUENOS EMPRESARIOS ARTESANAIS DA CADEIA PRODUTIVA DO BORDADO FILE, LOCALIZADOS NA REGIAO DAS LAGOAS MUNDAU E MANGUABA DO ESTADO DE ALAGOAS.PARTIDA FECOEP-90 MIL, SEBRAE-7|TERMO CONV.N.1|104|27359|0600011364|2012/10/10|2014/10/10|165000|2012/10/29|1|2012/10/10|DESPESA|165000|0|SEC  DE EST DO PLANEJ E DO DESEN ECONOMICO|SERVICO DE APO AS MED E PEQ EMP DE AL SEBRAE|2012|PJ
410016|12517413000127|002470|FAVORECER COOPERACAO TECNICO-COMERCIAL P/ PROSPECTAR NEGOCIOS P/ DESENVOLVER CADEIA PRODUTIVA DO LEITE ENTRE INVESTIDORES ALAGOAS/CANADA. SEPLANDE R$295.000,00; CONTRAPARTIDA SEBRAE R$275.000,00; FIEA|013/12 SEPLAND|104|27359|11001|2012/11/08|2014/01/08|599504.5|2013/02/20|1|2012/11/06|DESPESA|599504.5|0|SEC  DE EST DO PLANEJ E DO DESEN ECONOMICO|SERVICO DE APO AS MED E PEQ EMP DE AL SEBRAE|2012|PJ
510526|12954061000177|002467|PROMOVER ACOES SOCIAIS VOLTADAS AS FAMILIAS DE BAIXA RENDA, ASSISTENCIA E OPORTUNIDADE PARA UMA VIDA MAIS SAUDAVEL A MAIS DE 60 CRIANCAS EM SITUACAO DE VULNERABILIDADE SOCIAL.PRO-AMOR R$ 15.096,00 , S|CONVENIO 011/1|104|27359|11001|2012/12/31|2013/12/31|172937.88|2013/02/15|1|2012/12/28|DESPESA|172937.88|0|FUNDO ESTADUAL DE ASSISTENCIA SOCIAL|CENTRO DE RECUPERACAO PRO AMOR|2012|PJ
520030|04811676000116|002444|PROMOVER A REALIZACAO DE 15 TORNEIOS LEITEIROS DA AGRICULTURA FAMILIAR. RECURSOS: SEAGRI, R$ 40.500,00; CPLA, R$ 4.500,00. OFICIO SEAGRI 89, 28/09/12, FL. 2, PROCESSO 1500-028159/2012.|7/12.TORNEIOS|104|27359|11001|2012/08/10|2012/12/22|45000|2012/12/06|1|2012/09/21|DESPESA|45000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|CPLA-COOP.DE PROD.LEITEIRA DE AL. LTDA|2012|PJ
520030|12436168000123|002495|PROMOVER A REALIZACAO DA 62 EXPOAGRO/2012,PERIODO DE 19 A 28/10/12, NO MUNICIPIO DE MACEIO-AL. CONVENIO CADASTRADO FORA DO TEMPO HABIL, A SER PAGO COMO DESPESAS DE EXERCICIO ANTERIOR.ESTADO R$ 278 MIL|CONVENIO 009/1|104|27359|11001|2012/10/18|2012/11/30|305800|2013/04/03|1|2012/10/18|DESPESA|305800|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|ASSOC. DOS CRIAD. DE CAPRINOS E OVINOS AL|2012|PJ
520030|12436168000123|002434|REALIZACAO DA III EXPOALAGOAS GENETICA DE 18 A 20/ABR/12. RECURSOS DA SEAGRI R$ 100.000,00. RECURSOS DA ACCOAL R$ 10.000,00|CONV-03/12 ACC|104|27359|11001|2012/04/18|2012/04/20|110000|2012/10/22|1|2012/06/27|DESPESA|110000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|ASSOC. DOS CRIAD. DE CAPRINOS E OVINOS AL|2012|PJ
510524|00872673000131|002401|EQUOTERAPIA PARA 60 PESSOAS COM DEFICIENCIA P/ DESENVOLVER INTERACAO SOCIAL, AUTOCONFIANCA, COGNICAO, ATIVIDADES DIARIAS, ESTIMULAR LINGUAGEM, ADEQUAR TONUS MUSCULAR. FES R$182.476,80 (12 X 15.206,40)|EQUOTERAPIA.CO|104|27359|11001|2012/07/02|2013/07/02|202752|2012/07/12|1|2012/06/26|DESPESA|202752|0|FUNDO ESTADUAL DE SAUDE|ASSOCIACAO DE EQUOTERAPIA DE ALAGOAS - AEA|2012|PJ
520030|12517413000127|002497|ASSISTENCIA TECNICA PEQUENOS PROD RURAIS,ENFASE APL/CADEIA PRODUTIVA COM INOVACAO TECNO/GESTAO EMPREENDEDORA. PARTIDA:SEAGRI R$20.400,00+R$3.000,00(ECONO);SEBRAE R$70.000,00;CONTRAPARTIDA:FAEAL R$25.0|05/2012. SEBRA|104|27359|11001|2012/11/20|2013/07/20|90400|2013/04/10|1|2012/10/29|DESPESA|90400|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|SERVICO DE APO AS MED E PEQ EMP DE AL SEBRAE|2012|PJ
520030|12180345000153|002373|CAPACITAR JOVENS E MULHERES AGRICULTORES FAMILIARES PARA ATUAREM COMO AGENTESDE DESENVOLVIMENTO LOCAL. PARTIDA SEAGRI:R$145.000,00 (7 PARCELAS X 20.714,29), NA FONTE 0100. CONTRAPARTIDA FETAG: R$14.50|SEAGRI/FETAG 0|104|27359|11001|2012/04/25|2013/04/25|159500|2013/04/15|1|2012/03/28|DESPESA|159500|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|FETAG-AL FED DOS TRAB NA AGRIC NO EST ALAGOAS|2012|PJ
540037|24255952000114|002466|IMPLANTACAO E EXECUCAO DE ACOES VOLTADAS PRARA MELHORIA DE GRUPOS DA MELHOR IDADE NO ESTADO DE ALAGOAS, NO VALOR TOTAL DE R$ 19.200.000,00 SENDO O VALOR DEPOSITADO TRIMESTRALMENTE NA QUANTIA DE R$ 240|20106-169/2011|104|27359|11001|2012/11/30|2014/11/30|1920000|2013/02/15|1|2012/11/28|DESPESA|1920000|0|SEC DE EST DA MULHER E DOS DIREITOS HUMANOS|INSTITUTO DA MELHOR IDADE|2012|PJ
