CONCEDENTE|BENEFICIADO|CONVENIO|DESCRICAO_CONVENIO|CONVENIO_ORIGEM|BANCO|AGENCIA|CONTA|DATA_INICIO|DATA_TERMINO|VALOR|DATA_TRANSACAO|TIPO_CONVENIO|DATA_CELEBRACAO|EMPENHO_REF|VALOR_PARTIDA|VALOR_CONTRAPARTIDA|DESCRICAO_CONCEDENTE|DESCRICAO_BENEFICIADO|ANO|TIPO_BENEFICIADO
510557|11408745000100|002661|RESGATAR MANIFESTACOES TRADICIONAIS DA CULTURA REGIONAL POR MEIO DA MUSICA, COM ENFASE NO FREVO E NAS MARCHINHAS DE CARNAVAL, PROMOVENDO SURGIMENTO DE NOVAS BANDAS DE MUSICA DO INTERIOR DO ESTADO E AL|1/2014.PINTO M|104|27359|11001|2014/02/14|2015/02/14|120000|2014/02/19|1|2014/02/07|DESPESA|0|120000|FUNDO DE DESENVOLVIMENTO DE ACOES CULTURAIS|INSTITUTO CULT BLOC CARNAV PINTO DA MADRUGADA|2014|PJ
530538|41157967000169|002697|EXECUCAO DAS OBRAS E SERVICOS DE RESTAURACAO DA RODOVIA AL-101,TRECHO:CORURIPE-FELIZ DESERTO-PIACABUCU, COM EXTENSAO APROXIMADA DE 44,50 KM.|CONTRATO N.09/|104|27359|0600014460|2014/02/26|2014/02/26|18135902.03|2014/05/02|1|2014/02/21|DESPESA|18135902.03|0|DEPARTAM DE ESTRADAS DE RODAGEM DO EST DE AL|ENGENHARIA DE MATERIAIS LTDA ENGEMAT|2014|PJ
530538|41160680000198|002698|OBRAS E SERVICOS DE RESTAURACAO DAS RODOVIAS AL415/420,TRECHO:BR-101/ROTEIRO,COM 16,92 KM DE EXTENSAO.|CONTRATO N.28/|104|27359|0600014460|2014/04/14|2014/10/14|13412895.41|2014/05/02|1|2014/04/08|DESPESA|13412895.41|0|DEPARTAM DE ESTRADAS DE RODAGEM DO EST DE AL|F.P.CONSTRUCOES LTDA.|2014|PJ
530541|00759221000148|002744|REALIZACAO DE FEIRAS CAMPONESAS INTINERANTES NOS BAIRROS DE MACEIO ATRAVES D E PARCERIA COM O GOVERNO DO ESTADO DE ALAGOAS E A PASTORAL DA TERRA.|01/2014|104|15571|0300032120|2014/06/16|2015/06/16|83250|2014/08/01|1|2014/06/12|DESPESA|74925|8325|INSTITUTO DE TERRAS E REFORMA AGRARIA DE ALAG|PASTORAL DA TERRA DE ALAGOAS|2014|PJ
520030|00759221000148|002745|PROJETOS FEIRAS CAMPONESAS 2014, DE 12 A 14 DE JUNHO E 15 A 18 DE OUTUBRO DE 2014, EM MACEIO/AL NA PRACA AFRANIO JORGE. O VALOR TODAL R$ 127.272,00. A SEAGRI ARCARA COM R$ 114.544,80. A PASTORAL ARCAR|002-2014 PASTO|104|27359|11001|2014/06/26|2014/11/25|114544.8|2014/08/04|1|2014/06/05|DESPESA|114544.8|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|PASTORAL DA TERRA DE ALAGOAS|2014|PJ
530031|12294708000181|002774|PELA ATA 29 DO FECOEP-REDUZIR O DEFICIT HABITACIONAL DA REGIAO METROPOLITANA DE MACEIO E CONSEQUENTEMENTE DO ESTADO,DISPONIBILIZAR MORADIA DIGNA P/FAMILIAS DE BAIXA RENDA.PELA PUBLIC.DOE-12/08/14-IMPL|CONVENIO 040/1|104|27359|0600014886|2014/08/12|2015/08/12|6500000|2014/09/04|1|2014/07/28|DESPESA|0|6500000|SECRETARIA DE ESTADO DA INFRA-ESTRUTURA|CASAL - COMPANHIA DE SANEAMENTO DE ALAGOAS|2014|PJ
530538|12316402000189|002802|EXECUCAO DE OBRAS E SERVICOS DE RESTAURACAO DA RODOVIA AL225,TRECHO PIACABUCU-PENEDO,COM 24,3KM DE EXTENSAO.CONTRATADA L PEREIRA E CIA LTDA.|CONTRATO N.33/|104|27359|0600014460|2014/10/22|2015/04/22|0|2014/11/17|1|2014/05/12|DESPESA|0|10850408.46|DEPARTAM DE ESTRADAS DE RODAGEM DO EST DE AL|L.PEREIRA & CIA LTDA|2014|PJ
410016|67145383000167|002734|PRESTACAO DE SERVICOS ESPECIALIZADOS PELA FNQ,VISANDO A REALIZACAO DO CURSO DE SISTEMA DE INDICADORES-AVALIACAO DE DESEMPENHO DA ORGANIZACAO SOB A OTICA DO MODELO DE EXCELENCIA DE GESTAO-MEG DESENVOLV|CONV.CONTRATO|104|27359|0600012255|2014/06/04|2014/12/31|52325|2014/07/08|1|2014/05/30|DESPESA|0|52325|SEC  DE EST DO PLANEJ E DO DESEN ECONOMICO|FUNDACAO NACIONAL DA QUALIDADE|2014|PJ
510517|25160086000140|002810|AQUISICAO DE SISTEMA IRRADIANTE PARA TRANSMISSAO DE TV DIGITAL,COM INSTALACAO, DESTINADO AO INSTITUTO ZUMBI DOS PALMARES-IZP.|CONTRATO N.18/|104|27359|0600015157|2014/04/14|2015/04/14|398700|2014/12/17|1|2014/04/04|DESPESA|0|398700|INSTITUTO ZUMBI DOS PALMARES IZP|IDEAL INDUSTRIA E COMERCIO DE ANTENAS LTDA|2014|PJ
510520|81103228000109|002775|FORNECIMENTO DE ARQUIVOS DESLIZANTES PARA ARQUIVAMENTO E GUARDA DE MATERIAIS  EM GERAL, DESTINADOS A DIRETORIA DE TEATROS DO ESTADO DE ALAGOAS.|CONTRATO DITEA|104|27359|0600013472|2014/08/29|2014/11/29|134820|2014/09/05|1|2014/08/26|DESPESA|0|134820|DIRETORIA DE TEATROS DO ESTADO DE ALAGOAS|TECNOLACH INDUSTRIAL LTDA.|2014|PJ
