CONCEDENTE|BENEFICIADO|CONVENIO|DESCRICAO_CONVENIO|CONVENIO_ORIGEM|BANCO|AGENCIA|CONTA|DATA_INICIO|DATA_TERMINO|VALOR|DATA_TRANSACAO|TIPO_CONVENIO|DATA_CELEBRACAO|EMPENHO_REF|VALOR_PARTIDA|VALOR_CONTRAPARTIDA|DESCRICAO_CONCEDENTE|DESCRICAO_BENEFICIADO|ANO|TIPO_BENEFICIADO
510526|08629271000112|001802|APOIAR FINANCEIRAMENTE ABRIGO NOTURNO SAO VICENTE DE PAULA,MEDIANTE O ATENDIMENTO INTEGRAL INSTITUCIONAL ,A 23 PESSOAS IDOSAS EM SITUACAO DE ABANDONO,SEM FAMILIA IMPOSSIBILITADAS DE CONVIVER COM SUAS|0020|001|35572|6237|2007/12/19|2009/03/19|20505|2007/12/20|2|2007/12/19|DESPESA|20505|0|FUNDO ESTADUAL DE ASSISTENCIA SOCIAL|ABRIGO NOTURNO S. VICENTE DE PAULO|2007|PJ
510526|12262242000132|001804|APOIAR FINANCEIRAMENTE A ASSOCIACAO DO MOVIEMENTO DE AMPARO A CRIANCA NA REFORMA DAS INSTALACOES E AMPLIACAO DE SEUS SERVICOS,PARA ATENDIMENTO DE 25 CRIANCAS E ADOLESCENTES EM SITUACAO DE RISCO SOCIAL|034|104|27359|11001|2007/12/19|2008/12/19|287971.22|2007/12/20|2|2007/12/19|DESPESA|287971.22|0|FUNDO ESTADUAL DE ASSISTENCIA SOCIAL|ASSOC DO MOVIMENTO DE AMPARO A INFANCIA|2007|PJ
520030|00759221000148|001714|REALIZACAO DA VI E VII FEIRAS CAMPONESAS DE PRODUTOS AGROPECUARIOS, PRODUZIDONAS AREAS ASSISTIDAS PELA PASTORAL DA TERRA.|PROC14000-0044|001|00132|1258958|2007/06/06|2007/10/29|60360|2007/06/06|1|2007/05/30|DESPESA|60360|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|PASTORAL DA TERRA DE ALAGOAS|2007|PJ
520030|08116831000135|001776|REALIZACAO DA II EXPOAGRESTE 2007 ( EXPOSICAO AGROPECUARIA E DE PRODUTOS DERIVADOS DO AGRESTE) PROC 1400-1858/2007 BANCO 104 AG. 0056 CC 00300001124.|007/2007|104|27359|UNICA|2007/10/22|2007/12/14|40000|2007/11/14|1|2007/10/11|DESPESA|40000|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|ASSOC DOS AGROPEC DO AGRESTE DE ALAGOAS|2007|PJ
520534|12207742000171|001845|O OBJETO DO COMVENIO E A CONCESSAO DE OPORTUNIDADES DE ESTAGIO DE COMPLEMENTACAO DE ENSINO E APRENDIZAGEM A ESTUDANTES REGULARMENTE MATRICULADOS|002/07|104|27359|UNICA|2007/10/26|2009/10/26|91200|2008/03/07|1|2007/08/16|DESPESA|91200|0|FUNDO ESTADUAL DE REGISTRO E DO COMERCIO|FUNDACAO EDUCACIONAL JAYME ALTAVILLA|2007|PJ
530539|07258357000113|001791|SERVICOS DE RECUPERACAO DO MURO DE CONTORNO DAS GERAIS DO ESTADIO REI PELE E HALL DA FAMA, EM MACEIO. PL MOD CONVITE N. 65/06. PROC. ADM. N. 550022125/06.|CT 081/2006|341|01598|181996|2007/11/29|2008/02/28|97242.01|2007/12/06|2|2006/06/13|DESPESA|97242.01|0|SERVICOS DE ENGENHARIA DE ALAGOAS S A|E M CONSTRUCOES LTDA|2007|PJ
530539|01890843000173|001792|SERVICOS DE REFORMA DA COZINHA, REFEITORIO E WCS DO HOSPITAL ESCOLA DR. HELVIO AUTO, EM MACEIO. PL MOD CONVITE . N. 42/2005. PROC. ADM. N. 550201445/2005.|CT 66/2005 CPL|001|00132|85669|2007/12/05|2008/03/04|120750.7|2007/12/06|2|2005/08/22|DESPESA|120750.7|0|SERVICOS DE ENGENHARIA DE ALAGOAS S A|JORMAN CONSTRUCOES LTDA|2007|PJ
510023|06018231000109|002522|RECUPERAR DESNUTRIDOS RES. DENISSON MENEZES, DIMINUIR INFECCOES/DOENCAS CRONICAS DO PESO INFANTIL/MORBIDADE ADULTA. SESAU R$78.000,00+R$150.000,00+R$240.000,00+R$240.000,00. CONV ANTERIOR 001781(51052|01/07.DENISSON|104|27359|0600012999|2007/07/16|2008/09/16|708000|2013/05/13|1|2007/07/13|DESPESA|708000|0|SECRETARIA DE ESTADO DA SAUDE|NUTRIR - ASSOCIACAO DE COMBATE A DESNUTRICAO|2007|PJ
520030|04603743000107|001725|REALIZACAO 8 FEIRA REFORMA AGRARIA EM MACEIO PARA COMERCIALIZACAO DE PRODUTOSAGRICOLAS PELOS AGRICULTORES FAMILIARES DA REFORMA AGRARIA.|03/2007 1400-1|104|15458|0000003191|2007/08/30|2007/10/30|52465.85|2007/09/25|1|2007/08/30|DESPESA|52465.85|0|SEC DE EST DA AGRIC PEC.PESCA E AQUICULTURA|ASSOC DE CAPACIT APOIO A TRAB RURAIS-AL/ACATA|2007|PJ
530540|12207403000195|001784|REDUCAO DEFICIT HABITACIONAL PELA CONSTRUCAO 100 UNIDADES HABITACIONAIS PADRAO POPULAR EM LIMOEIRO DE ANADIA.SERA EXECUTADA NA CONTA BCO 001 AG 2252-7 C/C9534-6. PROC.N. 55070.00468/2007.CONTRAPARTIDA|001/2007|104|27359|UNICA|2007/11/06|2008/09/06|600000|2007/11/29|1|2007/11/01|DESPESA|600000|0|AGENC DE DESENVOLV HABITAC E URBANO DO EST AL|PREF MUNI LIMOEIRO DE ANADIA|2007|PJ
530539|07634219000191|001790|SERVICOS COMPLEMENTARES DA UNIDADE DE BENEFICIAMENTO DE SURURU NA ORLA LAGUNAR, EM MACEIO/AL. PL MOD  CONVITE N. 82/06. PROC. ADM. N. 55021630/06.|CT 97/2006  CP|104|15571|0300001860|2007/11/29|2007/12/28|38489.23|2007/12/06|2|2006/07/26|DESPESA|38489.23|0|SERVICOS DE ENGENHARIA DE ALAGOAS S A|CONSTRUTORA ALBUQUERQUE LTDA|2007|PJ
